joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.781972,0.072299,0.037083	1.749715,0.063101,-0.171382	1.738031,0.221129,0.035269	1.518499,0.340160,0.057495	1.267422,0.416421,0.139190	5
1.781992,0.072829,0.037141	1.749754,0.063144,-0.171551	1.737952,0.221292,0.035184	1.518456,0.340392,0.057389	1.267882,0.417395,0.139804	5
1.782018,0.073194,0.037192	1.749807,0.063172,-0.171806	1.737929,0.221301,0.035178	1.518146,0.339837,0.057533	1.268011,0.418006,0.140085	5
1.782070,0.073413,0.037158	1.749913,0.063215,-0.172468	1.737904,0.221165,0.035178	1.517748,0.338956,0.057770	1.267982,0.418395,0.140146	5
1.782106,0.073524,0.037078	1.749912,0.063228,-0.173449	1.737878,0.220949,0.035181	1.517326,0.337921,0.058145	1.267909,0.418756,0.140164	5
1.782078,0.073568,0.037013	1.749659,0.063169,-0.174455	1.737849,0.220694,0.035168	1.517256,0.337566,0.058275	1.267983,0.418951,0.140147	5
1.782017,0.073581,0.036979	1.749307,0.063059,-0.175208	1.737804,0.220484,0.035246	1.517410,0.337748,0.058264	1.268143,0.419098,0.140158	5
1.781935,0.073585,0.036967	1.748936,0.062937,-0.175557	1.737810,0.220326,0.035360	1.517702,0.338163,0.058186	1.268382,0.419220,0.140179	5
1.781831,0.073585,0.036973	1.748552,0.062812,-0.175390	1.737838,0.220203,0.035490	1.518066,0.338714,0.058072	1.268642,0.419249,0.140242	5
1.781746,0.073594,0.036984	1.748296,0.062730,-0.174892	1.737873,0.220099,0.035619	1.518476,0.339359,0.057930	1.268864,0.419149,0.140234	5
1.781731,0.073615,0.036986	1.748327,0.062689,-0.174313	1.737959,0.220444,0.036500	1.518624,0.340022,0.057692	1.268873,0.419073,0.140277	5
1.781762,0.073639,0.036983	1.748532,0.062658,-0.173766	1.738039,0.221020,0.037783	1.518507,0.340510,0.057360	1.268746,0.419074,0.140371	5
1.781808,0.073662,0.036977	1.748793,0.062619,-0.173253	1.738072,0.221610,0.039125	1.518257,0.340862,0.056912	1.268588,0.419118,0.140487	5
1.781880,0.073698,0.036968	1.749133,0.062600,-0.172876	1.738294,0.222288,0.040324	1.518084,0.341029,0.056634	1.268493,0.419189,0.140529	5
1.781977,0.073744,0.036961	1.749537,0.062588,-0.172707	1.738412,0.222710,0.040938	1.517949,0.341091,0.056524	1.268412,0.419295,0.140539	5
1.782088,0.073793,0.036956	1.749967,0.062575,-0.172716	1.738396,0.222810,0.040993	1.517896,0.341132,0.056545	1.268348,0.419346,0.140517	5
1.782204,0.073844,0.036953	1.750401,0.062567,-0.172821	1.738358,0.222773,0.040821	1.517890,0.341137,0.056530	1.268332,0.419346,0.140483	5
1.782285,0.073897,0.036954	1.750698,0.062563,-0.172941	1.738347,0.222722,0.040615	1.517916,0.341136,0.056475	1.268349,0.419310,0.140437	5
1.782332,0.073952,0.036961	1.750864,0.062562,-0.173045	1.738370,0.222696,0.040424	1.517940,0.341100,0.056414	1.268382,0.419293,0.140387	5
1.782355,0.074007,0.036970	1.750940,0.062563,-0.173126	1.738386,0.222658,0.040206	1.517951,0.341063,0.056128	1.268478,0.419259,0.140359	5
1.782367,0.074060,0.036988	1.750975,0.062565,-0.173178	1.738397,0.222621,0.039999	1.517949,0.341032,0.055735	1.268502,0.419076,0.140186	5
1.782372,0.074110,0.037012	1.750988,0.062567,-0.173208	1.738387,0.222633,0.039930	1.517914,0.341016,0.055555	1.268395,0.418865,0.139981	5
1.782376,0.074213,0.037040	1.750994,0.062572,-0.173218	1.738358,0.222702,0.039874	1.517870,0.341056,0.055535	1.268154,0.418576,0.139688	5
1.782379,0.074346,0.037071	1.751002,0.062579,-0.173214	1.738321,0.222794,0.039824	1.517822,0.341118,0.055596	1.267999,0.418461,0.139600	5
1.782383,0.074502,0.037102	1.751013,0.062587,-0.173200	1.738279,0.222904,0.039783	1.517788,0.341233,0.055665	1.267903,0.418434,0.139626	5
1.782387,0.074666,0.037131	1.751027,0.062595,-0.173179	1.738240,0.223008,0.039736	1.517777,0.341375,0.055776	1.267842,0.418454,0.139707	5
1.782390,0.074823,0.037158	1.751039,0.062604,-0.173152	1.738207,0.223093,0.039694	1.517781,0.341501,0.055972	1.267748,0.418432,0.139753	5
1.782393,0.074936,0.037187	1.751052,0.062611,-0.173119	1.738193,0.223129,0.039669	1.517854,0.341669,0.056206	1.267671,0.418369,0.139760	5
1.782396,0.075126,0.037219	1.751064,0.062622,-0.173072	1.738155,0.223227,0.039611	1.517919,0.341917,0.056469	1.267555,0.418299,0.139780	5
