joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.816101,0.047377,0.095069	1.788542,0.055235,-0.006944	0.000000,0.000000,0.000000	1.792349,0.051859,-0.076466	1.802955,0.042453,-0.270145	1.762872,0.037606,-0.434388	1.826521,-0.075603,-0.074866	1.962393,-0.259239,-0.031064	1.975240,-0.350937,0.220442	1.760709,0.188944,-0.074186	1.705838,0.403142,-0.002003	1.634523,0.416985,0.255972	12
1.815786,0.046886,0.095105	1.788542,0.055233,-0.006943	0.000000,0.000000,0.000000	1.792336,0.051855,-0.076466	1.802908,0.042445,-0.270162	1.762843,0.037582,-0.434407	1.826277,-0.075651,-0.074881	1.962268,-0.259498,-0.030301	1.975111,-0.351348,0.221595	1.760639,0.188929,-0.074152	1.705791,0.403474,-0.001744	1.634562,0.416819,0.256715	12
1.815466,0.046340,0.095124	1.788542,0.055230,-0.006942	0.000000,0.000000,0.000000	1.792323,0.051853,-0.076466	1.802859,0.042441,-0.270195	1.762821,0.037539,-0.434432	1.826030,-0.075685,-0.074933	1.962261,-0.259755,-0.029876	1.974938,-0.351643,0.222538	1.760533,0.188901,-0.074133	1.705723,0.403802,-0.001439	1.634581,0.416607,0.257582	12
1.815229,0.045960,0.095129	1.788542,0.055228,-0.006941	0.000000,0.000000,0.000000	1.792305,0.051851,-0.076465	1.802791,0.042438,-0.270237	1.762801,0.037503,-0.434463	1.825927,-0.075755,-0.074840	1.962270,-0.260141,-0.029170	1.974761,-0.351885,0.223702	1.760425,0.188876,-0.074116	1.705629,0.404183,-0.001224	1.634374,0.416410,0.258181	12
1.815082,0.045668,0.095116	1.788542,0.055226,-0.006940	0.000000,0.000000,0.000000	1.792281,0.051850,-0.076465	1.802703,0.042436,-0.270281	1.762780,0.037471,-0.434497	1.825371,-0.075951,-0.074760	1.962405,-0.260349,-0.029072	1.974652,-0.352053,0.224021	1.760250,0.188842,-0.074098	1.705535,0.404570,-0.001048	1.634085,0.416158,0.258521	12
1.814985,0.045417,0.095094	1.788542,0.055224,-0.006939	0.000000,0.000000,0.000000	1.792262,0.051848,-0.076465	1.802635,0.042435,-0.270322	1.762761,0.037444,-0.434522	1.824522,-0.076083,-0.074964	1.962521,-0.260314,-0.029473	1.974607,-0.352171,0.223482	1.760050,0.188806,-0.074082	1.705444,0.404951,-0.000907	1.633697,0.416023,0.258514	12
1.814909,0.045178,0.095069	1.788542,0.055222,-0.006938	0.000000,0.000000,0.000000	1.792247,0.051847,-0.076466	1.802580,0.042433,-0.270362	1.762741,0.037418,-0.434540	1.823585,-0.076165,-0.075311	1.962662,-0.260104,-0.030129	1.974578,-0.352105,0.222389	1.759804,0.188767,-0.074064	1.705387,0.405305,-0.000792	1.633276,0.415936,0.258164	12
1.814864,0.044974,0.095040	1.788542,0.055220,-0.006937	0.000000,0.000000,0.000000	1.792234,0.051845,-0.076466	1.802533,0.042432,-0.270398	1.762722,0.037393,-0.434553	1.823217,-0.076108,-0.075631	1.962923,-0.259938,-0.030781	1.974517,-0.351871,0.221312	1.759711,0.188755,-0.074060	1.705341,0.405521,-0.000717	1.633113,0.415854,0.257766	12
1.814843,0.044869,0.095019	1.788542,0.055217,-0.006937	0.000000,0.000000,0.000000	1.792223,0.051843,-0.076466	1.802492,0.042431,-0.270433	1.762704,0.037363,-0.434562	1.823205,-0.076100,-0.075676	1.963125,-0.259986,-0.031038	1.974353,-0.351714,0.220710	1.759705,0.188759,-0.074063	1.705301,0.405640,-0.000668	1.633070,0.415768,0.257397	12
