joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.627866,0.026901,0.230333	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620561,0.025342,0.033738	1.621289,0.017288,-0.182619	1.575477,0.012080,-0.342289	1.626190,-0.118573,0.021884	1.558752,-0.164940,-0.217144	1.302709,-0.121317,-0.312767	1.612927,0.170965,0.015702	1.539496,0.206377,-0.223434	1.283975,0.149012,-0.312945	12
1.627866,0.026901,0.230333	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620560,0.025342,0.033738	1.621286,0.017288,-0.182620	1.575471,0.012109,-0.342289	1.626190,-0.118572,0.021884	1.558726,-0.164975,-0.217129	1.301944,-0.120612,-0.310373	1.612927,0.170965,0.015702	1.539495,0.206377,-0.223433	1.285230,0.147395,-0.315423	12
1.627866,0.026901,0.230333	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620559,0.025342,0.033738	1.621284,0.017288,-0.182620	1.575465,0.012138,-0.342289	1.626190,-0.118572,0.021884	1.558307,-0.165011,-0.217003	1.299001,-0.119354,-0.301966	1.612927,0.170965,0.015702	1.539482,0.206377,-0.223429	1.285122,0.147523,-0.315281	12
1.627866,0.026901,0.230333	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620559,0.025342,0.033738	1.621282,0.017288,-0.182620	1.575449,0.012187,-0.342275	1.626190,-0.118572,0.021884	1.557571,-0.165120,-0.216771	1.293208,-0.111796,-0.272953	1.612927,0.170965,0.015703	1.539405,0.206377,-0.223405	1.283133,0.150084,-0.311346	12
1.627866,0.026901,0.230334	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620559,0.025835,0.033723	1.621281,0.019181,-0.182662	1.575404,0.014751,-0.342287	1.626189,-0.118572,0.021885	1.555921,-0.165491,-0.216213	1.292057,-0.095126,-0.224952	1.612927,0.170965,0.015703	1.539290,0.206373,-0.223370	1.282112,0.151274,-0.309474	12
1.627866,0.026901,0.230334	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620558,0.026731,0.033703	1.621280,0.022628,-0.182701	1.574800,0.019459,-0.344201	1.626189,-0.118572,0.021885	1.551390,-0.166946,-0.214499	1.306014,-0.067201,-0.160476	1.612927,0.170965,0.015703	1.539102,0.206370,-0.223313	1.281019,0.151579,-0.309043	12
1.627866,0.026901,0.230334	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620558,0.027569,0.033691	1.621279,0.025851,-0.182702	1.574009,0.024131,-0.346723	1.626190,-0.118586,0.021910	1.542616,-0.168277,-0.211131	1.333787,-0.041431,-0.092591	1.612927,0.170966,0.015705	1.538848,0.206365,-0.223232	1.279196,0.150351,-0.311010	12
1.627866,0.026901,0.230334	1.620305,0.028173,0.109787	0.000000,0.000000,0.000000	1.620558,0.028108,0.033686	1.621278,0.027922,-0.182531	1.573157,0.027137,-0.349013	1.626189,-0.118607,0.021945	1.482408,-0.138727,-0.171665	1.257510,-0.056540,-0.185899	1.612906,0.170968,0.015711	1.538582,0.206361,-0.223151	1.279362,0.148836,-0.313424	12
1.627866,0.026901,0.230331	1.620241,0.028173,0.109787	0.000000,0.000000,0.000000	1.620509,0.028481,0.033685	1.621265,0.029349,-0.181738	1.572612,0.029242,-0.348390	1.625491,-0.118651,0.021969	1.472708,-0.132570,-0.173186	1.323375,-0.018364,-0.071267	1.611476,0.170920,0.015754	1.538408,0.206426,-0.223476	1.278316,0.148743,-0.313530	12
