joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.628103,0.054056,0.404053	1.623727,0.048174,0.303108	0.000000,0.000000,0.000000	1.610208,0.047130,0.228545	1.570667,0.044075,0.010460	1.521495,0.043316,-0.150679	1.624605,-0.100707,0.257560	1.501558,-0.214300,0.445331	1.456712,-0.062321,0.670853	1.616294,0.197192,0.258617	1.506596,0.326867,0.444232	1.479424,0.127526,0.632623	12
1.628110,0.053850,0.404075	1.623688,0.048175,0.303108	0.000000,0.000000,0.000000	1.610182,0.047072,0.228544	1.570674,0.043843,0.010443	1.521501,0.043064,-0.150673	1.624628,-0.100809,0.257723	1.501510,-0.214324,0.445494	1.456447,-0.062312,0.670951	1.616271,0.197178,0.258383	1.506763,0.326777,0.444163	1.477791,0.127208,0.632045	12
1.628112,0.053613,0.404101	1.623649,0.048176,0.303108	0.000000,0.000000,0.000000	1.610155,0.047005,0.228543	1.570680,0.043579,0.010425	1.521506,0.042767,-0.150665	1.624631,-0.100949,0.257878	1.501544,-0.214268,0.445789	1.455912,-0.062260,0.671133	1.616231,0.197198,0.258135	1.506870,0.326660,0.444097	1.476231,0.126877,0.631488	12
1.628111,0.053380,0.404125	1.623610,0.048176,0.303108	0.000000,0.000000,0.000000	1.610127,0.046934,0.228542	1.570683,0.043298,0.010407	1.521509,0.042459,-0.150657	1.624631,-0.101069,0.257926	1.501551,-0.214244,0.445929	1.455467,-0.062376,0.671276	1.616200,0.197264,0.258000	1.506891,0.326581,0.444093	1.475256,0.126838,0.631365	12
1.628107,0.053244,0.404143	1.623569,0.048177,0.303108	0.000000,0.000000,0.000000	1.610098,0.046861,0.228541	1.570685,0.043013,0.010390	1.521513,0.042153,-0.150649	1.624627,-0.101164,0.257897	1.501556,-0.214228,0.445971	1.455151,-0.062624,0.671430	1.616173,0.197348,0.257930	1.506877,0.326515,0.444135	1.474854,0.126753,0.631324	12
1.628094,0.053235,0.404153	1.623528,0.048179,0.303108	0.000000,0.000000,0.000000	1.610068,0.046815,0.228540	1.570686,0.042825,0.010372	1.521516,0.041908,-0.150644	1.624621,-0.101236,0.257828	1.501571,-0.214204,0.445974	1.454722,-0.062918,0.671555	1.616160,0.197452,0.257947	1.506832,0.326516,0.444205	1.474616,0.126637,0.631236	12
1.628075,0.053288,0.404161	1.623486,0.048181,0.303108	0.000000,0.000000,0.000000	1.610037,0.046784,0.228539	1.570685,0.042697,0.010354	1.521519,0.041770,-0.150641	1.624613,-0.101286,0.257752	1.501589,-0.214180,0.445959	1.454173,-0.062977,0.671477	1.616138,0.197546,0.257997	1.506781,0.326545,0.444283	1.474360,0.126393,0.630985	12
1.628055,0.053381,0.404166	1.623444,0.048184,0.303108	0.000000,0.000000,0.000000	1.610006,0.046772,0.228537	1.570684,0.042639,0.010337	1.521522,0.041721,-0.150642	1.624607,-0.101246,0.257584	1.501667,-0.214115,0.445861	1.453410,-0.063078,0.671311	1.616133,0.197614,0.258158	1.506698,0.326622,0.444392	1.474144,0.126012,0.630578	12
1.628014,0.053483,0.404173	1.623401,0.048187,0.303108	0.000000,0.000000,0.000000	1.609974,0.046769,0.228535	1.570683,0.042620,0.010320	1.521524,0.041718,-0.150644	1.624598,-0.101206,0.257506	1.501707,-0.214084,0.445809	1.452675,-0.062910,0.671000	1.616154,0.197633,0.258248	1.506654,0.326651,0.444436	1.473843,0.125738,0.630250	12
