joint_position_spine_top	joint_position_spine_mid	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.780031,0.035117,-0.076126	1.800938,0.035113,-0.268350	1.730364,0.172319,-0.079520	1.624753,0.378123,-0.081972	1.452820,0.575014,-0.008676	5
1.780032,0.035121,-0.076126	1.800945,0.035104,-0.268363	1.730360,0.172333,-0.079529	1.624712,0.378118,-0.081964	1.452918,0.575118,-0.008737	5
1.780033,0.035127,-0.076126	1.800951,0.035097,-0.268385	1.730356,0.172346,-0.079536	1.624610,0.378082,-0.081961	1.452947,0.575198,-0.008759	5
1.780034,0.035133,-0.076126	1.800957,0.035093,-0.268415	1.730353,0.172358,-0.079542	1.624604,0.378093,-0.081958	1.452977,0.575262,-0.008751	5
1.780034,0.035139,-0.076126	1.800961,0.035091,-0.268442	1.730350,0.172368,-0.079548	1.624570,0.378089,-0.081958	1.453022,0.575363,-0.008709	5
1.780034,0.035146,-0.076126	1.800964,0.035088,-0.268461	1.730347,0.172377,-0.079553	1.624542,0.378086,-0.081959	1.453062,0.575475,-0.008654	5
1.780034,0.035152,-0.076126	1.800965,0.035086,-0.268470	1.730344,0.172386,-0.079557	1.624521,0.378084,-0.081959	1.453128,0.575614,-0.008594	5
1.780034,0.035158,-0.076126	1.800965,0.035084,-0.268469	1.730342,0.172394,-0.079561	1.624484,0.378075,-0.081960	1.453204,0.575763,-0.008506	5
1.780011,0.035161,-0.076128	1.800883,0.035070,-0.268525	1.730496,0.171933,-0.080626	1.624681,0.377644,-0.081820	1.453558,0.575612,-0.008608	5
1.779975,0.035162,-0.076132	1.800762,0.035047,-0.268682	1.730738,0.171318,-0.082131	1.624951,0.377043,-0.081627	1.454010,0.575332,-0.008783	5
1.779943,0.035162,-0.076136	1.800660,0.035017,-0.268901	1.730834,0.171210,-0.082619	1.625005,0.376916,-0.081562	1.454177,0.575316,-0.008747	5
1.779912,0.035164,-0.076139	1.800571,0.034996,-0.269149	1.730938,0.171259,-0.082813	1.625013,0.376916,-0.081535	1.454317,0.575393,-0.008662	5
1.779883,0.035169,-0.076142	1.800488,0.034985,-0.269417	1.731032,0.171369,-0.082870	1.625187,0.377068,-0.081526	1.454403,0.575405,-0.008575	5
1.779863,0.035176,-0.076145	1.800437,0.034979,-0.269681	1.731124,0.171506,-0.082862	1.625246,0.377188,-0.081526	1.454504,0.575492,-0.008527	5
1.779850,0.035184,-0.076146	1.800415,0.034977,-0.269923	1.731248,0.171696,-0.082787	1.625217,0.377299,-0.081534	1.454563,0.575597,-0.008504	5
1.779844,0.035192,-0.076147	1.800412,0.034976,-0.270135	1.731290,0.171827,-0.082760	1.625167,0.377383,-0.081536	1.454585,0.575649,-0.008487	5
1.779841,0.035200,-0.076148	1.800420,0.034976,-0.270312	1.731320,0.171916,-0.082777	1.625134,0.377439,-0.081536	1.454574,0.575682,-0.008467	5
1.779868,0.035193,-0.076145	1.800533,0.034927,-0.270382	1.731286,0.172260,-0.082188	1.624975,0.377721,-0.081619	1.454409,0.575914,-0.008314	5
1.779920,0.035186,-0.076139	1.800721,0.034883,-0.270291	1.731187,0.172680,-0.081295	1.624778,0.378089,-0.081746	1.454138,0.576245,-0.008119	5
1.779990,0.035178,-0.076132	1.800959,0.034841,-0.269987	1.731063,0.173084,-0.080288	1.624582,0.378450,-0.081893	1.453841,0.576637,-0.007903	5
1.780063,0.035172,-0.076124	1.801184,0.034802,-0.269501	1.730948,0.173421,-0.079303	1.624421,0.378751,-0.082040	1.453514,0.577001,-0.007676	5
1.780130,0.035166,-0.076117	1.801374,0.034767,-0.268880	1.730916,0.173505,-0.078817	1.624385,0.378828,-0.082115	1.453309,0.577262,-0.007550	5
1.780159,0.035162,-0.076113	1.801424,0.034737,-0.268311	1.730932,0.173433,-0.078678	1.624425,0.378766,-0.082141	1.453172,0.577472,-0.007480	5
1.780162,0.035167,-0.076113	1.801387,0.034735,-0.267884	1.730969,0.173297,-0.078710	1.624494,0.378647,-0.082137	1.453113,0.577605,-0.007450	5
1.780151,0.035173,-0.076114	1.801315,0.034741,-0.267623	1.731012,0.173151,-0.078807	1.624563,0.378516,-0.082122	1.453118,0.577668,-0.007453	5
1.780133,0.035178,-0.076116	1.801237,0.034749,-0.267517	1.731053,0.173012,-0.078924	1.624622,0.378388,-0.082102	1.453166,0.577689,-0.007473	5
1.780114,0.035181,-0.076118	1.801167,0.034756,-0.267537	1.731092,0.172885,-0.079051	1.624676,0.378271,-0.082081	1.453286,0.577625,-0.007525	5
1.780095,0.035183,-0.076120	1.801107,0.034761,-0.267659	1.731125,0.172778,-0.079166	1.624707,0.378164,-0.082063	1.453431,0.577571,-0.007572	5
1.780077,0.035185,-0.076122	1.801060,0.034764,-0.267857	1.731151,0.172693,-0.079257	1.624719,0.378074,-0.082048	1.453576,0.577535,-0.007600	5
1.780063,0.035187,-0.076124	1.801031,0.034766,-0.268091	1.731151,0.172696,-0.079168	1.624711,0.378071,-0.082057	1.453686,0.577548,-0.007582	5
