joint_position_head	joint_position_neck	joint_position_shoulder	joint_position_spine_top	joint_position_spine_mid	joint_position_spine_bottom	joint_position_left_shoulder	joint_position_left_elbow	joint_position_left_hand	joint_position_right_shoulder	joint_position_right_elbow	joint_position_right_hand	
XYZ order
1.918824,0.078820,-0.084474	1.890589,0.077764,-0.179541	0.000000,0.000000,0.000000	1.873114,0.069933,-0.244759	1.820935,0.046551,-0.439501	1.763641,0.042001,-0.581111	1.870585,-0.054663,-0.244780	1.736161,-0.069076,-0.425392	1.487559,-0.073600,-0.517425	1.869088,0.189303,-0.275927	1.838124,0.115068,-0.241545	1.859131,0.067998,-0.389597	12
1.918723,0.078841,-0.084635	1.889988,0.077764,-0.179545	0.000000,0.000000,0.000000	1.872663,0.069928,-0.244803	1.820929,0.046531,-0.439661	1.763614,0.041999,-0.581259	1.870565,-0.054779,-0.244504	1.736147,-0.069093,-0.425142	1.490190,-0.074467,-0.516082	1.869063,0.189396,-0.275801	1.869032,0.189516,-0.501272	1.869032,0.189516,-0.802261	12
1.918650,0.078854,-0.084717	1.889392,0.077764,-0.179463	0.000000,0.000000,0.000000	1.872221,0.069925,-0.244761	1.820949,0.046518,-0.439740	1.763582,0.041996,-0.581313	1.870553,-0.054848,-0.244195	1.736084,-0.069103,-0.424809	1.490898,-0.075483,-0.516447	1.869031,0.189492,-0.275554	1.869001,0.189579,-0.500969	1.869001,0.189579,-0.803520	12
1.918642,0.078862,-0.084714	1.889007,0.077764,-0.179339	0.000000,0.000000,0.000000	1.871945,0.069924,-0.244665	1.820997,0.046514,-0.439729	1.763569,0.041994,-0.581268	1.870554,-0.054862,-0.243872	1.735987,-0.069141,-0.424419	1.490982,-0.075914,-0.517542	1.869004,0.189542,-0.275257	1.868986,0.189574,-0.500674	1.868986,0.189574,-0.803938	12
1.918638,0.078866,-0.084704	1.888731,0.077764,-0.179241	0.000000,0.000000,0.000000	1.871750,0.069922,-0.244588	1.821044,0.046508,-0.439714	1.763525,0.041989,-0.581186	1.870548,-0.054914,-0.243551	1.736026,-0.069274,-0.424132	1.490471,-0.076074,-0.517963	1.865391,0.189236,-0.274573	1.862319,0.188962,-0.499691	1.862319,0.188962,-0.803690	12
1.918629,0.078868,-0.084713	1.888502,0.077764,-0.179177	0.000000,0.000000,0.000000	1.871589,0.069920,-0.244542	1.821086,0.046497,-0.439720	1.763464,0.041983,-0.581092	1.870539,-0.054985,-0.243313	1.735845,-0.069586,-0.423854	1.489562,-0.076028,-0.517972	1.862169,0.188878,-0.274089	1.859961,0.188611,-0.499600	1.859961,0.188611,-0.804107	12
1.918606,0.078868,-0.084740	1.888293,0.077764,-0.179143	0.000000,0.000000,0.000000	1.871441,0.069916,-0.244523	1.821119,0.046483,-0.439746	1.763398,0.041976,-0.580998	1.870540,-0.054973,-0.243375	1.734846,-0.069961,-0.423721	1.488167,-0.075946,-0.517890	1.859344,0.188512,-0.273751	1.857678,0.188274,-0.500179	1.857678,0.188274,-0.804648	12
1.918575,0.078868,-0.084780	1.888094,0.077764,-0.179127	0.000000,0.000000,0.000000	1.871299,0.069912,-0.244521	1.821150,0.046468,-0.439787	1.763323,0.041969,-0.580891	1.870540,-0.054973,-0.243463	1.732224,-0.070276,-0.423306	1.486778,-0.075908,-0.518399	1.858024,0.188377,-0.273609	1.857685,0.188351,-0.501969	1.857685,0.188351,-0.804911	12
1.918542,0.078868,-0.084825	1.887907,0.077764,-0.179121	0.000000,0.000000,0.000000	1.871168,0.069910,-0.244529	1.821184,0.046457,-0.439836	1.763341,0.041970,-0.580864	1.870550,-0.054894,-0.243709	1.730438,-0.070693,-0.424183	1.486431,-0.075828,-0.518615	1.857892,0.188404,-0.273625	1.858363,0.188491,-0.503910	1.858363,0.188491,-0.805137	12
1.918504,0.078868,-0.084876	1.887730,0.077764,-0.179126	0.000000,0.000000,0.000000	1.871068,0.069918,-0.244554	1.821313,0.046492,-0.439924	1.763429,0.041977,-0.580845	1.870551,-0.054893,-0.243774	1.730025,-0.071114,-0.426271	1.486950,-0.075659,-0.518103	1.858283,0.188492,-0.273709	1.858925,0.188595,-0.505976	1.858925,0.188595,-0.805721	12
1.918443,0.078876,-0.084953	1.887471,0.077764,-0.179136	0.000000,0.000000,0.000000	1.870913,0.069934,-0.244593	1.821474,0.046554,-0.440048	1.763546,0.041987,-0.580808	1.870550,-0.054890,-0.243837	1.730654,-0.071510,-0.429446	1.487761,-0.075341,-0.516968	1.858708,0.188587,-0.273801	1.859165,0.188669,-0.508279	1.859165,0.188669,-0.806857	12
1.918368,0.078933,-0.085046	1.887152,0.077764,-0.179147	0.000000,0.000000,0.000000	1.870715,0.069958,-0.244638	1.821634,0.046648,-0.440191	1.763667,0.042220,-0.580740	1.870549,-0.054877,-0.243903	1.731076,-0.071733,-0.432391	1.488127,-0.075180,-0.515982	1.859391,0.188702,-0.273935	1.859958,0.188786,-0.510354	1.859958,0.188786,-0.808198	12
1.918311,0.079045,-0.085117	1.886912,0.077764,-0.179156	0.000000,0.000000,0.000000	1.870578,0.069987,-0.244676	1.821806,0.046764,-0.440317	1.763821,0.042578,-0.580616	1.870548,-0.054857,-0.243927	1.731703,-0.071924,-0.433989	1.487994,-0.075122,-0.515446	1.860479,0.188818,-0.274124	1.861298,0.188893,-0.510457	1.861298,0.188893,-0.809188	12
1.918276,0.079184,-0.085163	1.886767,0.077765,-0.179163	0.000000,0.000000,0.000000	1.870502,0.070013,-0.244702	1.821933,0.046865,-0.440403	1.763991,0.042999,-0.580482	1.870551,-0.054816,-0.243921	1.734675,-0.072293,-0.435082	1.491256,-0.075018,-0.514327	1.861779,0.188960,-0.274265	1.862672,0.189051,-0.508434	1.862672,0.189051,-0.805465	12
1.918258,0.079330,-0.085188	1.886694,0.077765,-0.179167	0.000000,0.000000,0.000000	1.870471,0.070036,-0.244719	1.822029,0.046956,-0.440460	1.764169,0.043425,-0.580366	1.870558,-0.054754,-0.243894	1.737740,-0.072401,-0.435405	1.495209,-0.074913,-0.513005	1.863248,0.189091,-0.274389	1.864202,0.189168,-0.506856	1.864202,0.189168,-0.802527	12
1.918249,0.079472,-0.085202	1.886658,0.077765,-0.179169	0.000000,0.000000,0.000000	1.870464,0.070054,-0.244731	1.822109,0.047025,-0.440499	1.764335,0.043844,-0.580273	1.870567,-0.054674,-0.243854	1.739322,-0.072260,-0.434594	1.498197,-0.074764,-0.512079	1.864872,0.189210,-0.274501	1.865890,0.189274,-0.505611	1.865890,0.189274,-0.800195	12
1.918250,0.079620,-0.085204	1.886664,0.077766,-0.179170	0.000000,0.000000,0.000000	1.870489,0.070070,-0.244738	1.822191,0.047088,-0.440526	1.764625,0.044274,-0.580337	1.870578,-0.054579,-0.243806	1.739335,-0.071775,-0.433784	1.497666,-0.074501,-0.512324	1.866420,0.189293,-0.274582	1.867317,0.189329,-0.505907	1.867317,0.189329,-0.802806	12
1.918254,0.079828,-0.085202	1.886689,0.077768,-0.179170	0.000000,0.000000,0.000000	1.870530,0.070086,-0.244744	1.822277,0.047148,-0.440548	1.764954,0.044697,-0.580556	1.870590,-0.054483,-0.243759	1.735938,-0.071204,-0.432530	1.494904,-0.074214,-0.513566	1.867873,0.189280,-0.274736	1.868673,0.189239,-0.508403	1.868673,0.189239,-0.804745	12
1.918262,0.080068,-0.085198	1.886726,0.077772,-0.179170	0.000000,0.000000,0.000000	1.870579,0.070104,-0.244749	1.822365,0.047207,-0.440567	1.765278,0.045095,-0.580910	1.870601,-0.054390,-0.243715	1.731326,-0.070923,-0.431329	1.491932,-0.074184,-0.515049	1.868613,0.189242,-0.274777	1.868812,0.189197,-0.510557	1.868812,0.189197,-0.805677	12
1.918265,0.080309,-0.085198	1.886749,0.077776,-0.179171	0.000000,0.000000,0.000000	1.870612,0.070119,-0.244753	1.822428,0.047252,-0.440582	1.765463,0.045353,-0.581281	1.870609,-0.054316,-0.243680	1.730057,-0.070978,-0.432123	1.490781,-0.074240,-0.515294	1.868129,0.189122,-0.274704	1.867393,0.189019,-0.511233	1.867393,0.189019,-0.806452	12
1.918266,0.080558,-0.085202	1.886759,0.077781,-0.179171	0.000000,0.000000,0.000000	1.870632,0.070132,-0.244757	1.822477,0.047294,-0.440596	1.765567,0.045535,-0.581651	1.870615,-0.054264,-0.243657	1.731045,-0.071133,-0.433790	1.490597,-0.074236,-0.514923	1.867177,0.188987,-0.274587	1.866278,0.188888,-0.511289	1.866278,0.188888,-0.807415	12
